method_id,method,budget_k,group,stage,samples,mean_ms,p50_ms,p95_ms
Full_v6_1_k3,Full K3,3,paired_graph_attribution,retrieval,2,28.92,28.92,29.083
Full_v6_1_k3,Full K3,3,paired_graph_attribution,prompt_build,2,1.539,1.539,1.614
Full_v6_1_k3,Full K3,3,paired_graph_attribution,stage1_verifier,2,349.592,349.592,357.773
Full_v6_1_k3,Full K3,3,paired_graph_attribution,stage2_review,2,109.926,109.926,208.86
Full_v6_1_k3,Full K3,3,paired_graph_attribution,render,2,0.078,0.078,0.086
Full_v6_1_k3,Full K3,3,paired_graph_attribution,input_preparation,2,2.049,2.049,2.479
Full_v6_1_k3,Full K3,3,paired_graph_attribution,model_inference,2,453.966,453.966,548.792
Full_v6_1_k3,Full K3,3,paired_graph_attribution,generation_pipeline,2,461.888,461.888,553.175
Full_v6_1_k3,Full K3,3,paired_graph_attribution,end_to_end,2,489.661,489.661,580.857
FullNoGraph_v6_1_k3,Full-NoGraph K3,3,paired_graph_attribution,retrieval,2,28.549,28.549,28.816
FullNoGraph_v6_1_k3,Full-NoGraph K3,3,paired_graph_attribution,prompt_build,2,1.647,1.647,1.84
FullNoGraph_v6_1_k3,Full-NoGraph K3,3,paired_graph_attribution,stage1_verifier,2,345.06,345.06,348.807
FullNoGraph_v6_1_k3,Full-NoGraph K3,3,paired_graph_attribution,stage2_review,2,105.891,105.891,201.194
FullNoGraph_v6_1_k3,Full-NoGraph K3,3,paired_graph_attribution,render,2,0.076,0.076,0.076
FullNoGraph_v6_1_k3,Full-NoGraph K3,3,paired_graph_attribution,input_preparation,2,2.052,2.052,2.457
FullNoGraph_v6_1_k3,Full-NoGraph K3,3,paired_graph_attribution,model_inference,2,449.634,449.634,541.363
FullNoGraph_v6_1_k3,Full-NoGraph K3,3,paired_graph_attribution,generation_pipeline,2,453.296,453.296,545.279
FullNoGraph_v6_1_k3,Full-NoGraph K3,3,paired_graph_attribution,end_to_end,2,484.385,484.385,576.705
