method_id,method,budget_k,group,stage,samples,mean_ms,p50_ms,p95_ms
B1_dense_k3_equal,Dense K3,3,equal_budget_main,retrieval,2,27.339,27.339,27.818
B1_dense_k3_equal,Dense K3,3,equal_budget_main,prompt_build,2,1.624,1.624,1.641
B1_dense_k3_equal,Dense K3,3,equal_budget_main,stage1_verifier,2,347.685,347.685,351.169
B1_dense_k3_equal,Dense K3,3,equal_budget_main,stage2_review,2,214.353,214.353,216.592
B1_dense_k3_equal,Dense K3,3,equal_budget_main,render,2,0.066,0.066,0.067
B1_dense_k3_equal,Dense K3,3,equal_budget_main,input_preparation,2,2.712,2.712,2.741
B1_dense_k3_equal,Dense K3,3,equal_budget_main,model_inference,2,559.304,559.304,565.076
B1_dense_k3_equal,Dense K3,3,equal_budget_main,generation_pipeline,2,563.731,563.731,569.434
B1_dense_k3_equal,Dense K3,3,equal_budget_main,end_to_end,2,596.101,596.101,597.108
B4_role_k3_equal,Role K3,3,equal_budget_main,retrieval,2,27.602,27.602,27.793
B4_role_k3_equal,Role K3,3,equal_budget_main,prompt_build,2,1.606,1.606,1.702
B4_role_k3_equal,Role K3,3,equal_budget_main,stage1_verifier,2,397.094,397.094,435.474
B4_role_k3_equal,Role K3,3,equal_budget_main,stage2_review,2,0.0,0.0,0.0
B4_role_k3_equal,Role K3,3,equal_budget_main,render,2,0.07,0.07,0.072
B4_role_k3_equal,Role K3,3,equal_budget_main,input_preparation,2,1.504,1.504,1.508
B4_role_k3_equal,Role K3,3,equal_budget_main,model_inference,2,386.726,386.726,433.022
B4_role_k3_equal,Role K3,3,equal_budget_main,generation_pipeline,2,398.831,398.831,437.26
B4_role_k3_equal,Role K3,3,equal_budget_main,end_to_end,2,426.301,426.301,465.451
A2_role_graph_k3_equal,Role + Graph K3,3,equal_budget_main,retrieval,2,27.308,27.308,27.503
A2_role_graph_k3_equal,Role + Graph K3,3,equal_budget_main,prompt_build,2,1.583,1.583,1.658
A2_role_graph_k3_equal,Role + Graph K3,3,equal_budget_main,stage1_verifier,2,348.798,348.798,354.08
A2_role_graph_k3_equal,Role + Graph K3,3,equal_budget_main,stage2_review,2,0.0,0.0,0.0
A2_role_graph_k3_equal,Role + Graph K3,3,equal_budget_main,render,2,0.072,0.072,0.076
A2_role_graph_k3_equal,Role + Graph K3,3,equal_budget_main,input_preparation,2,1.448,1.448,1.554
A2_role_graph_k3_equal,Role + Graph K3,3,equal_budget_main,model_inference,2,347.317,347.317,352.598
A2_role_graph_k3_equal,Role + Graph K3,3,equal_budget_main,generation_pipeline,2,350.455,350.455,355.765
A2_role_graph_k3_equal,Role + Graph K3,3,equal_budget_main,end_to_end,2,377.887,377.887,382.955
Ours_v6_k3_equal,Full K3,3,equal_budget_main,retrieval,2,27.557,27.557,27.79
Ours_v6_k3_equal,Full K3,3,equal_budget_main,prompt_build,2,1.597,1.597,1.729
Ours_v6_k3_equal,Full K3,3,equal_budget_main,stage1_verifier,2,348.759,348.759,349.962
Ours_v6_k3_equal,Full K3,3,equal_budget_main,stage2_review,2,105.715,105.715,200.858
Ours_v6_k3_equal,Full K3,3,equal_budget_main,render,2,0.07,0.07,0.071
Ours_v6_k3_equal,Full K3,3,equal_budget_main,input_preparation,2,2.065,2.065,2.524
Ours_v6_k3_equal,Full K3,3,equal_budget_main,model_inference,2,454.443,454.443,549.872
Ours_v6_k3_equal,Full K3,3,equal_budget_main,generation_pipeline,2,458.185,458.185,553.811
Ours_v6_k3_equal,Full K3,3,equal_budget_main,end_to_end,2,485.94,485.94,581.562
B1_dense_k4_secondary,Dense K4,4,cross_budget_secondary,retrieval,2,27.718,27.718,28.191
B1_dense_k4_secondary,Dense K4,4,cross_budget_secondary,prompt_build,2,1.773,1.773,1.844
B1_dense_k4_secondary,Dense K4,4,cross_budget_secondary,stage1_verifier,2,428.104,428.104,428.55
B1_dense_k4_secondary,Dense K4,4,cross_budget_secondary,stage2_review,2,374.829,374.829,424.802
B1_dense_k4_secondary,Dense K4,4,cross_budget_secondary,render,2,0.072,0.072,0.075
B1_dense_k4_secondary,Dense K4,4,cross_budget_secondary,input_preparation,2,3.518,3.518,4.127
B1_dense_k4_secondary,Dense K4,4,cross_budget_secondary,model_inference,2,803.773,803.773,848.769
B1_dense_k4_secondary,Dense K4,4,cross_budget_secondary,generation_pipeline,2,809.148,809.148,854.844
B1_dense_k4_secondary,Dense K4,4,cross_budget_secondary,end_to_end,2,836.865,836.865,883.035
