comparison,reference,proposed,metric,delta_proposed_minus_reference,ci_low,ci_high,favorable_direction,bootstrap_favorable_probability,clusters,replicates
Full_vs_Dense_K3,B1_dense_k3_equal,Ours_v6_k3_equal,retrieval_recall_macro,0.154762,0.154762,0.154762,positive,1.0,1,5000
Full_vs_Dense_K3,B1_dense_k3_equal,Ours_v6_k3_equal,retrieval_ndcg_macro,0.351959,0.351959,0.351959,positive,1.0,1,5000
Full_vs_Dense_K3,B1_dense_k3_equal,Ours_v6_k3_equal,citation_f1_macro,0.161111,0.161111,0.161111,positive,1.0,1,5000
Full_vs_Dense_K3,B1_dense_k3_equal,Ours_v6_k3_equal,end_to_end_latency_ms_mean,-110.161205,-110.161205,-110.161205,negative,1.0,1,5000
Full_vs_Role_K3,B4_role_k3_equal,Ours_v6_k3_equal,retrieval_recall_macro,0.0,0.0,0.0,positive,0.0,1,5000
Full_vs_Role_K3,B4_role_k3_equal,Ours_v6_k3_equal,retrieval_ndcg_macro,0.0,0.0,0.0,positive,0.0,1,5000
Full_vs_Role_K3,B4_role_k3_equal,Ours_v6_k3_equal,citation_f1_macro,0.0,0.0,0.0,positive,0.0,1,5000
Full_vs_Role_K3,B4_role_k3_equal,Ours_v6_k3_equal,end_to_end_latency_ms_mean,59.6396,59.6396,59.6396,negative,0.0,1,5000
Full_vs_RoleGraph_K3,A2_role_graph_k3_equal,Ours_v6_k3_equal,retrieval_recall_macro,0.0,0.0,0.0,positive,0.0,1,5000
Full_vs_RoleGraph_K3,A2_role_graph_k3_equal,Ours_v6_k3_equal,retrieval_ndcg_macro,0.0,0.0,0.0,positive,0.0,1,5000
Full_vs_RoleGraph_K3,A2_role_graph_k3_equal,Ours_v6_k3_equal,citation_f1_macro,0.0,0.0,0.0,positive,0.0,1,5000
Full_vs_RoleGraph_K3,A2_role_graph_k3_equal,Ours_v6_k3_equal,end_to_end_latency_ms_mean,108.052708,108.052708,108.052708,negative,0.0,1,5000
RoleGraph_vs_Role_K3,B4_role_k3_equal,A2_role_graph_k3_equal,retrieval_recall_macro,0.0,0.0,0.0,positive,0.0,1,5000
RoleGraph_vs_Role_K3,B4_role_k3_equal,A2_role_graph_k3_equal,retrieval_ndcg_macro,0.0,0.0,0.0,positive,0.0,1,5000
RoleGraph_vs_Role_K3,B4_role_k3_equal,A2_role_graph_k3_equal,citation_f1_macro,0.0,0.0,0.0,positive,0.0,1,5000
RoleGraph_vs_Role_K3,B4_role_k3_equal,A2_role_graph_k3_equal,end_to_end_latency_ms_mean,-48.413108,-48.413108,-48.413108,negative,1.0,1,5000
