page_key,doc_id,pdf_page_number,source_family_id,target_fault_classes,target_evidence_roles,max_retrieval_score
MP002:103,MP002,103,ABS,hydraulic_blockage,symptom;cause_or_mechanism;maintenance,93.0
MP015:37,MP015,37,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage,cause_or_mechanism;inspection;maintenance,85.0
MP015:40,MP015,40,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage,cause_or_mechanism;maintenance;inspection,64.0
MP015:8,MP015,8,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage,cause_or_mechanism;inspection;symptom;maintenance,58.5
MP005:70,MP005,70,DESMI,bearing_or_lubrication_failure,maintenance;symptom;cause_or_mechanism;inspection,54.0
MP007:18,MP007,18,DESMI,hydraulic_blockage,cause_or_mechanism;maintenance;inspection;symptom,53.0
MP015:32,MP015,32,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage;hydraulic_blockage,cause_or_mechanism;symptom;maintenance,53.0
MP005:61,MP005,61,DESMI,mechanical_seal_failure;cavitation,symptom;cause_or_mechanism;inspection;maintenance,50.0
MP015:101,MP015,101,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage,cause_or_mechanism,48.0
MP005:53,MP005,53,DESMI,dry_running_or_maintenance_induced_failure,symptom;cause_or_mechanism,46.0
MP015:38,MP015,38,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage,maintenance;inspection,45.5
MP005:65,MP005,65,DESMI,mechanical_seal_failure;bearing_or_lubrication_failure,symptom;cause_or_mechanism;inspection;maintenance,44.0
MP002:115,MP002,115,ABS,hydraulic_blockage,symptom;cause_or_mechanism;maintenance,43.5
MP005:71,MP005,71,DESMI,bearing_or_lubrication_failure,maintenance;symptom;cause_or_mechanism;inspection,42.0
MP004:11,MP004,11,DESMI,air_ingress_or_loss_of_prime;hydraulic_blockage,symptom;cause_or_mechanism;maintenance;inspection,41.0
MP004:5,MP004,5,DESMI,impeller_or_wear_part_damage,symptom;cause_or_mechanism,41.0
MP005:63,MP005,63,DESMI,dry_running_or_maintenance_induced_failure;bearing_or_lubrication_failure,cause_or_mechanism;symptom;inspection,41.0
MP005:55,MP005,55,DESMI,motor_electrical_drive_failure,inspection;maintenance;symptom,38.5
MP005:117,MP005,117,DESMI,impeller_or_wear_part_damage,cause_or_mechanism,38.0
MP005:51,MP005,51,DESMI,dry_running_or_maintenance_induced_failure,cause_or_mechanism;inspection,38.0
MP005:67,MP005,67,DESMI,dry_running_or_maintenance_induced_failure,symptom;cause_or_mechanism;inspection,38.0
MP001:57,MP001,57,ABS,bearing_or_lubrication_failure;cavitation;pump_motor_misalignment;dry_running_or_maintenance_induced_failure,symptom;cause_or_mechanism;inspection;maintenance,37.0
MP005:60,MP005,60,DESMI,hydraulic_blockage;cavitation;air_ingress_or_loss_of_prime,cause_or_mechanism;maintenance;inspection;symptom,37.0
MP002:111,MP002,111,ABS,hydraulic_blockage,symptom;cause_or_mechanism;maintenance,35.5
MP015:18,MP015,18,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage,symptom,33.5
MP003:761,MP003,761,ABS,motor_electrical_drive_failure,cause_or_mechanism;symptom,32.1403
MP005:9,MP005,9,DESMI,hydraulic_blockage,symptom;maintenance;inspection,32.0
MP005:74,MP005,74,DESMI,hydraulic_blockage,cause_or_mechanism,30.0
MP003:318,MP003,318,ABS,bearing_or_lubrication_failure,symptom;inspection;cause_or_mechanism;maintenance,29.7638
MP004:12,MP004,12,DESMI,cavitation;air_ingress_or_loss_of_prime;pump_motor_misalignment,maintenance;symptom;cause_or_mechanism;inspection,29.0
MP005:62,MP005,62,DESMI,hydraulic_blockage;dry_running_or_maintenance_induced_failure,symptom;cause_or_mechanism;inspection,29.0
MP007:17,MP007,17,DESMI,cavitation;hydraulic_blockage;dry_running_or_maintenance_induced_failure,symptom;cause_or_mechanism;maintenance;inspection,29.0
MP003:961,MP003,961,ABS,motor_electrical_drive_failure,symptom;inspection,28.25
MP004:13,MP004,13,DESMI,bearing_or_lubrication_failure,maintenance;inspection;symptom;cause_or_mechanism,28.0
MP004:8,MP004,8,DESMI,impeller_or_wear_part_damage,inspection;maintenance;symptom,27.078
MP016:4,MP016,4,XYLEM__JABSCO,cavitation;impeller_or_wear_part_damage;dry_running_or_maintenance_induced_failure;hydraulic_blockage,cause_or_mechanism;maintenance;inspection;symptom,26.5
MP004:10,MP004,10,DESMI,cavitation;dry_running_or_maintenance_induced_failure,inspection;maintenance,25.0
MP005:58,MP005,58,DESMI,motor_electrical_drive_failure,inspection;cause_or_mechanism;maintenance,25.0
MP007:30,MP007,30,DESMI,impeller_or_wear_part_damage,cause_or_mechanism;maintenance,25.0
MP016:5,MP016,5,XYLEM__JABSCO,pipe_or_valve_integrity_failure;bearing_or_lubrication_failure,inspection;maintenance;symptom;cause_or_mechanism,25.0
MP005:13,MP005,13,DESMI,cavitation;mechanical_seal_failure,symptom,24.5
MP015:29,MP015,29,SPX_FLOW__JOHNSON_PUMP,dry_running_or_maintenance_induced_failure,maintenance;symptom;inspection;cause_or_mechanism,24.0
