page_key,doc_id,pdf_page_number,source_family_id,target_fault_classes,target_evidence_roles,max_retrieval_score
MP002:103,MP002,103,ABS,hydraulic_blockage,symptom;cause_or_mechanism;maintenance,93.0
MP020:26,MP020,26,INDICOR__CORNELL_PUMP,impeller_or_wear_part_damage;pump_motor_misalignment;bearing_or_lubrication_failure;cavitation;air_ingress_or_loss_of_prime;hydraulic_blockage;motor_electrical_drive_failure;dry_running_or_maintenance_induced_failure,symptom;cause_or_mechanism;inspection;maintenance,93.0
MP002:102,MP002,102,ABS,hydraulic_blockage,symptom;cause_or_mechanism;maintenance,92.0
MP002:104,MP002,104,ABS,hydraulic_blockage,symptom;cause_or_mechanism;maintenance,92.0
MP020:25,MP020,25,INDICOR__CORNELL_PUMP,dry_running_or_maintenance_induced_failure;impeller_or_wear_part_damage;pump_motor_misalignment;bearing_or_lubrication_failure;cavitation;air_ingress_or_loss_of_prime;hydraulic_blockage;motor_electrical_drive_failure,maintenance;symptom;cause_or_mechanism;inspection,92.0
MP020:27,MP020,27,INDICOR__CORNELL_PUMP,impeller_or_wear_part_damage;pump_motor_misalignment;bearing_or_lubrication_failure;cavitation;air_ingress_or_loss_of_prime;hydraulic_blockage;motor_electrical_drive_failure;dry_running_or_maintenance_induced_failure,maintenance;cause_or_mechanism;symptom;inspection,92.0
MP002:101,MP002,101,ABS,hydraulic_blockage,symptom;cause_or_mechanism;maintenance,91.0
MP002:105,MP002,105,ABS,hydraulic_blockage,symptom;cause_or_mechanism;maintenance,91.0
MP020:24,MP020,24,INDICOR__CORNELL_PUMP,impeller_or_wear_part_damage;pump_motor_misalignment;bearing_or_lubrication_failure;cavitation;air_ingress_or_loss_of_prime;hydraulic_blockage;motor_electrical_drive_failure;dry_running_or_maintenance_induced_failure,cause_or_mechanism;maintenance;inspection;symptom,91.0
MP020:28,MP020,28,INDICOR__CORNELL_PUMP,impeller_or_wear_part_damage;pump_motor_misalignment;bearing_or_lubrication_failure;cavitation;air_ingress_or_loss_of_prime;hydraulic_blockage;motor_electrical_drive_failure;dry_running_or_maintenance_induced_failure,symptom;cause_or_mechanism;inspection;maintenance,91.0
MP002:100,MP002,100,ABS,hydraulic_blockage,symptom;cause_or_mechanism;maintenance,90.0
MP002:106,MP002,106,ABS,hydraulic_blockage,symptom;cause_or_mechanism;maintenance,90.0
MP020:23,MP020,23,INDICOR__CORNELL_PUMP,bearing_or_lubrication_failure;impeller_or_wear_part_damage;pump_motor_misalignment;cavitation;air_ingress_or_loss_of_prime;hydraulic_blockage;motor_electrical_drive_failure;dry_running_or_maintenance_induced_failure,maintenance;symptom;inspection;cause_or_mechanism,90.0
MP020:22,MP020,22,INDICOR__CORNELL_PUMP,impeller_or_wear_part_damage;pump_motor_misalignment;bearing_or_lubrication_failure;cavitation;air_ingress_or_loss_of_prime;hydraulic_blockage;motor_electrical_drive_failure;dry_running_or_maintenance_induced_failure,cause_or_mechanism;maintenance;inspection;symptom,89.0
MP020:21,MP020,21,INDICOR__CORNELL_PUMP,impeller_or_wear_part_damage;pump_motor_misalignment;bearing_or_lubrication_failure;cavitation;air_ingress_or_loss_of_prime;hydraulic_blockage;motor_electrical_drive_failure,cause_or_mechanism;maintenance;inspection;symptom,88.0
MP020:20,MP020,20,INDICOR__CORNELL_PUMP,bearing_or_lubrication_failure;impeller_or_wear_part_damage;pump_motor_misalignment;cavitation;air_ingress_or_loss_of_prime;hydraulic_blockage;motor_electrical_drive_failure,maintenance;symptom;inspection;cause_or_mechanism,87.0
MP015:37,MP015,37,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage,cause_or_mechanism;inspection;maintenance,85.0
MP015:36,MP015,36,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage,cause_or_mechanism;inspection;maintenance,84.0
MP015:38,MP015,38,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage;mechanical_seal_failure,inspection;maintenance;cause_or_mechanism,84.0
MP015:35,MP015,35,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage;hydraulic_blockage;mechanical_seal_failure;air_ingress_or_loss_of_prime,cause_or_mechanism;inspection;maintenance;symptom,83.0
MP015:39,MP015,39,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage;mechanical_seal_failure,maintenance;cause_or_mechanism;inspection,83.0
MP015:34,MP015,34,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage;hydraulic_blockage;mechanical_seal_failure;air_ingress_or_loss_of_prime,cause_or_mechanism;inspection;maintenance;symptom,82.0
MP015:40,MP015,40,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage;mechanical_seal_failure,cause_or_mechanism;maintenance;inspection,82.0
MP015:41,MP015,41,SPX_FLOW__JOHNSON_PUMP,mechanical_seal_failure;impeller_or_wear_part_damage,maintenance;inspection;cause_or_mechanism,81.0
MP015:42,MP015,42,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage;mechanical_seal_failure,cause_or_mechanism;maintenance;inspection,80.0
MP015:43,MP015,43,SPX_FLOW__JOHNSON_PUMP,impeller_or_wear_part_damage;mechanical_seal_failure,cause_or_mechanism;maintenance;inspection,79.0
MP015:44,MP015,44,SPX_FLOW__JOHNSON_PUMP,mechanical_seal_failure;impeller_or_wear_part_damage,maintenance;inspection;cause_or_mechanism,78.0
