e2_weight,supported_weight,threshold,records,e2_records,gained,lost,jaccard
0.85,0.9,0.75,1531,0,0,167,0.901649
0.85,0.9,0.8,1398,0,0,300,0.823322
0.85,0.9,0.85,867,0,0,831,0.510601
0.85,0.9,0.9,0,0,0,1698,0.0
0.85,0.9,0.925,0,0,0,1698,0.0
0.85,0.9,0.95,0,0,0,1698,0.0
0.85,0.9,0.975,0,0,0,1698,0.0
0.85,0.95,0.75,1677,127,0,21,0.987633
0.85,0.95,0.8,1531,0,0,167,0.901649
0.85,0.95,0.85,1398,0,0,300,0.823322
0.85,0.95,0.9,867,0,0,831,0.510601
0.85,0.95,0.925,36,0,0,1662,0.021201
0.85,0.95,0.95,0,0,0,1698,0.0
0.85,0.95,0.975,0,0,0,1698,0.0
0.85,1.0,0.75,1700,147,3,1,0.997648
0.85,1.0,0.8,1677,127,0,21,0.987633
0.85,1.0,0.85,1531,0,0,167,0.901649
0.85,1.0,0.9,1398,0,0,300,0.823322
0.85,1.0,0.925,894,0,0,804,0.526502
0.85,1.0,0.95,867,0,0,831,0.510601
0.85,1.0,0.975,36,0,0,1662,0.021201
0.9,0.9,0.75,1658,127,0,40,0.976443
0.9,0.9,0.8,1398,0,0,300,0.823322
0.9,0.9,0.85,867,0,0,831,0.510601
0.9,0.9,0.9,0,0,0,1698,0.0
0.9,0.9,0.925,0,0,0,1698,0.0
0.9,0.9,0.95,0,0,0,1698,0.0
0.9,0.9,0.975,0,0,0,1698,0.0
0.9,0.95,0.75,1697,147,0,1,0.999411
0.9,0.95,0.8,1658,127,0,40,0.976443
0.9,0.95,0.85,1398,0,0,300,0.823322
0.9,0.95,0.9,867,0,0,831,0.510601
0.9,0.95,0.925,36,0,0,1662,0.021201
0.9,0.95,0.95,0,0,0,1698,0.0
0.9,0.95,0.975,0,0,0,1698,0.0
0.9,1.0,0.75,1701,148,3,0,0.998236
0.9,1.0,0.8,1697,147,0,1,0.999411
0.9,1.0,0.85,1658,127,0,40,0.976443
0.9,1.0,0.9,1398,0,0,300,0.823322
0.9,1.0,0.925,894,0,0,804,0.526502
0.9,1.0,0.95,867,0,0,831,0.510601
0.9,1.0,0.975,36,0,0,1662,0.021201
0.95,0.9,0.75,1678,147,0,20,0.988221
0.95,0.9,0.8,1525,127,0,173,0.898115
0.95,0.9,0.85,867,0,0,831,0.510601
0.95,0.9,0.9,0,0,0,1698,0.0
0.95,0.9,0.925,0,0,0,1698,0.0
0.95,0.9,0.95,0,0,0,1698,0.0
0.95,0.9,0.975,0,0,0,1698,0.0
0.95,0.95,0.75,1698,148,0,0,1.0
0.95,0.95,0.8,1678,147,0,20,0.988221
0.95,0.95,0.85,1525,127,0,173,0.898115
0.95,0.95,0.9,867,0,0,831,0.510601
0.95,0.95,0.925,36,0,0,1662,0.021201
0.95,0.95,0.95,0,0,0,1698,0.0
0.95,0.95,0.975,0,0,0,1698,0.0
0.95,1.0,0.75,1701,148,3,0,0.998236
0.95,1.0,0.8,1698,148,0,0,1.0
0.95,1.0,0.85,1678,147,0,20,0.988221
0.95,1.0,0.9,1525,127,0,173,0.898115
0.95,1.0,0.925,895,1,0,803,0.527091
0.95,1.0,0.95,867,0,0,831,0.510601
0.95,1.0,0.975,36,0,0,1662,0.021201
1.0,0.9,0.75,1679,148,0,19,0.98881
1.0,0.9,0.8,1545,147,0,153,0.909894
1.0,0.9,0.85,994,127,0,704,0.585395
1.0,0.9,0.9,0,0,0,1698,0.0
1.0,0.9,0.925,0,0,0,1698,0.0
1.0,0.9,0.95,0,0,0,1698,0.0
1.0,0.9,0.975,0,0,0,1698,0.0
1.0,0.95,0.75,1698,148,0,0,1.0
1.0,0.95,0.8,1679,148,0,19,0.98881
1.0,0.95,0.85,1545,147,0,153,0.909894
1.0,0.95,0.9,994,127,0,704,0.585395
1.0,0.95,0.925,37,1,0,1661,0.02179
1.0,0.95,0.95,0,0,0,1698,0.0
1.0,0.95,0.975,0,0,0,1698,0.0
1.0,1.0,0.75,1701,148,3,0,0.998236
1.0,1.0,0.8,1698,148,0,0,1.0
1.0,1.0,0.85,1679,148,0,19,0.98881
1.0,1.0,0.9,1545,147,0,153,0.909894
1.0,1.0,0.925,1021,127,0,677,0.601296
1.0,1.0,0.95,994,127,0,704,0.585395
1.0,1.0,0.975,37,1,0,1661,0.02179
