method_id,method,budget_k,group,stage,samples,mean_ms,p50_ms,p95_ms
B1_dense_k3_equal,Dense K3,3,equal_budget_main,retrieval,40,28.244,28.125,29.846
B1_dense_k3_equal,Dense K3,3,equal_budget_main,prompt_build,40,1.862,1.796,2.223
B1_dense_k3_equal,Dense K3,3,equal_budget_main,stage1_verifier,40,365.105,354.371,454.367
B1_dense_k3_equal,Dense K3,3,equal_budget_main,stage2_review,40,426.772,425.673,732.873
B1_dense_k3_equal,Dense K3,3,equal_budget_main,render,40,0.061,0.065,0.085
B1_dense_k3_equal,Dense K3,3,equal_budget_main,input_preparation,40,4.375,4.228,6.62
B1_dense_k3_equal,Dense K3,3,equal_budget_main,model_inference,40,794.574,769.656,1075.976
B1_dense_k3_equal,Dense K3,3,equal_budget_main,generation_pipeline,40,810.393,778.359,1085.962
B1_dense_k3_equal,Dense K3,3,equal_budget_main,end_to_end,40,839.415,806.807,1113.116
B4_role_k3_equal,Role K3,3,equal_budget_main,retrieval,40,28.377,28.153,30.512
B4_role_k3_equal,Role K3,3,equal_budget_main,prompt_build,40,1.813,1.822,2.143
B4_role_k3_equal,Role K3,3,equal_budget_main,stage1_verifier,40,351.107,352.808,371.454
B4_role_k3_equal,Role K3,3,equal_budget_main,stage2_review,40,386.878,417.14,643.966
B4_role_k3_equal,Role K3,3,equal_budget_main,render,40,0.068,0.073,0.096
B4_role_k3_equal,Role K3,3,equal_budget_main,input_preparation,40,4.052,4.218,5.803
B4_role_k3_equal,Role K3,3,equal_budget_main,model_inference,40,745.62,768.816,1070.026
B4_role_k3_equal,Role K3,3,equal_budget_main,generation_pipeline,40,753.642,774.848,1078.044
B4_role_k3_equal,Role K3,3,equal_budget_main,end_to_end,40,782.135,803.583,1109.579
A2_role_graph_k3_equal,Role + Graph K3,3,equal_budget_main,retrieval,40,28.578,28.352,30.365
A2_role_graph_k3_equal,Role + Graph K3,3,equal_budget_main,prompt_build,40,1.844,1.827,2.171
A2_role_graph_k3_equal,Role + Graph K3,3,equal_budget_main,stage1_verifier,40,360.021,354.793,435.189
A2_role_graph_k3_equal,Role + Graph K3,3,equal_budget_main,stage2_review,40,401.893,425.914,647.559
A2_role_graph_k3_equal,Role + Graph K3,3,equal_budget_main,render,40,0.068,0.071,0.094
A2_role_graph_k3_equal,Role + Graph K3,3,equal_budget_main,input_preparation,40,4.173,4.267,5.977
A2_role_graph_k3_equal,Role + Graph K3,3,equal_budget_main,model_inference,40,760.821,778.08,1060.82
A2_role_graph_k3_equal,Role + Graph K3,3,equal_budget_main,generation_pipeline,40,771.793,792.567,1068.917
A2_role_graph_k3_equal,Role + Graph K3,3,equal_budget_main,end_to_end,40,805.53,819.881,1101.552
Ours_v6_k3_equal,Full K3,3,equal_budget_main,retrieval,40,28.722,28.62,30.035
Ours_v6_k3_equal,Full K3,3,equal_budget_main,prompt_build,40,1.641,1.654,2.087
Ours_v6_k3_equal,Full K3,3,equal_budget_main,stage1_verifier,40,299.294,347.185,437.686
Ours_v6_k3_equal,Full K3,3,equal_budget_main,stage2_review,40,191.757,208.244,423.577
Ours_v6_k3_equal,Full K3,3,equal_budget_main,render,40,0.067,0.073,0.092
Ours_v6_k3_equal,Full K3,3,equal_budget_main,input_preparation,40,4.583,2.791,4.863
Ours_v6_k3_equal,Full K3,3,equal_budget_main,model_inference,40,495.694,555.449,858.812
Ours_v6_k3_equal,Full K3,3,equal_budget_main,generation_pipeline,40,502.167,560.528,864.483
Ours_v6_k3_equal,Full K3,3,equal_budget_main,end_to_end,40,531.227,589.478,892.455
B1_dense_k4_secondary,Dense K4,4,cross_budget_secondary,retrieval,40,28.298,28.107,29.781
B1_dense_k4_secondary,Dense K4,4,cross_budget_secondary,prompt_build,40,2.098,2.024,2.641
B1_dense_k4_secondary,Dense K4,4,cross_budget_secondary,stage1_verifier,40,445.835,425.311,529.114
B1_dense_k4_secondary,Dense K4,4,cross_budget_secondary,stage2_review,40,603.101,633.009,949.932
B1_dense_k4_secondary,Dense K4,4,cross_budget_secondary,render,40,0.068,0.07,0.1
B1_dense_k4_secondary,Dense K4,4,cross_budget_secondary,input_preparation,40,5.605,5.693,8.278
B1_dense_k4_secondary,Dense K4,4,cross_budget_secondary,model_inference,40,1054.495,1086.957,1410.557
B1_dense_k4_secondary,Dense K4,4,cross_budget_secondary,generation_pipeline,40,1062.304,1095.082,1422.619
B1_dense_k4_secondary,Dense K4,4,cross_budget_secondary,end_to_end,40,1092.739,1125.935,1452.296
