comparison,reference,proposed,metric,delta_proposed_minus_reference,ci_low,ci_high,favorable_direction,bootstrap_favorable_probability,clusters,replicates
Full_vs_Dense_K3,B1_dense_k3_equal,Ours_v6_k3_equal,retrieval_recall_macro,0.212717,0.149649,0.274843,positive,1.0,10,5000
Full_vs_Dense_K3,B1_dense_k3_equal,Ours_v6_k3_equal,retrieval_ndcg_macro,0.416582,0.318376,0.493952,positive,1.0,10,5000
Full_vs_Dense_K3,B1_dense_k3_equal,Ours_v6_k3_equal,citation_f1_macro,0.167219,0.107466,0.229833,positive,1.0,10,5000
Full_vs_Dense_K3,B1_dense_k3_equal,Ours_v6_k3_equal,end_to_end_latency_ms_mean,-308.188121,-395.26678,-217.229901,negative,1.0,10,5000
Full_vs_Role_K3,B4_role_k3_equal,Ours_v6_k3_equal,retrieval_recall_macro,0.053124,-0.014347,0.131251,positive,0.9348,10,5000
Full_vs_Role_K3,B4_role_k3_equal,Ours_v6_k3_equal,retrieval_ndcg_macro,0.144532,0.052986,0.243659,positive,0.9998,10,5000
Full_vs_Role_K3,B4_role_k3_equal,Ours_v6_k3_equal,citation_f1_macro,0.053899,-0.00368,0.113418,positive,0.9672,10,5000
Full_vs_Role_K3,B4_role_k3_equal,Ours_v6_k3_equal,end_to_end_latency_ms_mean,-250.907823,-342.576575,-164.313936,negative,1.0,10,5000
Full_vs_RoleGraph_K3,A2_role_graph_k3_equal,Ours_v6_k3_equal,retrieval_recall_macro,0.026338,-0.047528,0.110015,positive,0.728,10,5000
Full_vs_RoleGraph_K3,A2_role_graph_k3_equal,Ours_v6_k3_equal,retrieval_ndcg_macro,0.106412,0.024548,0.189901,positive,0.9952,10,5000
Full_vs_RoleGraph_K3,A2_role_graph_k3_equal,Ours_v6_k3_equal,citation_f1_macro,0.048965,-0.002617,0.099654,positive,0.9676,10,5000
Full_vs_RoleGraph_K3,A2_role_graph_k3_equal,Ours_v6_k3_equal,end_to_end_latency_ms_mean,-274.302978,-372.586286,-173.758739,negative,1.0,10,5000
RoleGraph_vs_Role_K3,B4_role_k3_equal,A2_role_graph_k3_equal,retrieval_recall_macro,0.026786,0.003125,0.061576,positive,0.9754,10,5000
RoleGraph_vs_Role_K3,B4_role_k3_equal,A2_role_graph_k3_equal,retrieval_ndcg_macro,0.03812,0.005866,0.080412,positive,0.9754,10,5000
RoleGraph_vs_Role_K3,B4_role_k3_equal,A2_role_graph_k3_equal,citation_f1_macro,0.004934,-0.007717,0.020833,positive,0.6544,10,5000
RoleGraph_vs_Role_K3,B4_role_k3_equal,A2_role_graph_k3_equal,end_to_end_latency_ms_mean,23.395156,-12.533018,59.326952,negative,0.0996,10,5000
