source_family_bonus,redundancy_penalty,max_per_source_family,evaluated_answerable_queries,latency_samples,recall_at_budget_macro,mrr,ndcg_at_budget_macro,mean_source_family_coverage,mean_exact_claim_redundancy,latency_ms_p50,latency_ms_p95,mean_scored_candidates,mean_selected_evidence,mean_visited_evidence,mean_visited_nodes,mean_visited_edges,timeout_count,pareto_optimal,quality_constraint_passed
0.04,0.08,1,34,1200,0.4210830384785493,0.8480392156862745,0.634670239168295,3.5,0.0,0.7034,1.3714899999999999,13.15,3.425,13.3,0.0,0.0,0,False,False
0.04,0.08,2,34,1200,0.46618107769423556,0.857843137254902,0.659551880734273,3.5,0.0,0.7708999999999999,1.3520099999999997,13.15,3.65,13.3,0.0,0.0,0,False,True
0.04,0.08,3,34,1200,0.472063430635412,0.857843137254902,0.6618724300292923,3.5,0.0,0.7885,1.4450699999999985,13.15,3.7,13.3,0.0,0.0,0,False,True
0.04,0.16,1,34,1200,0.4210830384785493,0.8480392156862745,0.634670239168295,3.5,0.0,0.7132000000000001,1.433245,13.15,3.425,13.3,0.0,0.0,0,False,False
0.04,0.16,2,34,1200,0.46618107769423556,0.857843137254902,0.659551880734273,3.4705882352941178,0.0,0.78075,1.4674349999999983,13.15,3.65,13.3,0.0,0.0,0,False,True
0.04,0.16,3,34,1200,0.472063430635412,0.857843137254902,0.6618724300292923,3.4705882352941178,0.0,0.83035,1.6276849999999998,13.15,3.7,13.3,0.0,0.0,0,False,True
0.04,0.24,1,34,1200,0.4210830384785493,0.8480392156862745,0.634670239168295,3.5,0.0,0.70045,1.2425499999999996,13.15,3.425,13.3,0.0,0.0,0,False,False
0.04,0.24,2,34,1200,0.46618107769423556,0.857843137254902,0.659551880734273,3.4705882352941178,0.0,0.7700499999999999,1.38563,13.15,3.65,13.3,0.0,0.0,0,False,True
0.04,0.24,3,34,1200,0.472063430635412,0.857843137254902,0.6618724300292923,3.4705882352941178,0.0,0.7759499999999999,1.3867199999999997,13.15,3.7,13.3,0.0,0.0,0,False,True
0.04,0.32,1,34,1200,0.4210830384785493,0.8480392156862745,0.634670239168295,3.5,0.0,0.72545,1.3897249999999999,13.15,3.425,13.3,0.0,0.0,0,False,False
0.04,0.32,2,34,1200,0.46618107769423556,0.857843137254902,0.659551880734273,3.4705882352941178,0.0,0.7885,1.4842399999999998,13.15,3.65,13.3,0.0,0.0,0,False,True
0.04,0.32,3,34,1200,0.472063430635412,0.857843137254902,0.6618724300292923,3.4705882352941178,0.0,0.83865,1.6389249999999997,13.15,3.7,13.3,0.0,0.0,0,False,True
0.08,0.08,1,34,1200,0.4210830384785493,0.8480392156862745,0.634670239168295,3.5,0.0,0.7087,1.35079,13.15,3.425,13.3,0.0,0.0,0,False,False
0.08,0.08,2,34,1200,0.46618107769423556,0.857843137254902,0.659551880734273,3.5,0.0,0.7684500000000001,1.335035,13.15,3.65,13.3,0.0,0.0,0,False,True
0.08,0.08,3,34,1200,0.472063430635412,0.857843137254902,0.6618724300292923,3.5,0.0,0.7771999999999999,1.357015,13.15,3.7,13.3,0.0,0.0,0,False,True
0.08,0.16,1,34,1200,0.4210830384785493,0.8480392156862745,0.634670239168295,3.5,0.0,0.70845,1.30608,13.15,3.425,13.3,0.0,0.0,0,False,False
0.08,0.16,2,34,1200,0.46618107769423556,0.857843137254902,0.659551880734273,3.5,0.0,0.7942,1.489855,13.15,3.65,13.3,0.0,0.0,0,False,True
0.08,0.16,3,34,1200,0.472063430635412,0.857843137254902,0.6618724300292923,3.5,0.0,0.8579000000000001,1.6378549999999996,13.15,3.7,13.3,0.0,0.0,0,False,True
0.08,0.24,1,34,1200,0.4210830384785493,0.8480392156862745,0.634670239168295,3.5,0.0,0.71115,1.3728999999999998,13.15,3.425,13.3,0.0,0.0,0,False,False
