Setting,K,Family_cap,Source_bonus,Redundancy_penalty,Graph_hops,Graph_weight,Recall@B,NDCG@B,p95_retrieval_ms
K=2,2,3,0.12,0.0,1,0.12,0.286289,0.655648,0.520676
K=4,4,3,0.12,0.0,1,0.12,0.430527,0.639383,0.961203
K=6,6,3,0.12,0.0,1,0.12,0.503058,0.614857,1.391389
K=8,8,3,0.12,0.0,1,0.12,0.554123,0.619408,2.010306
family_cap=1,4,1,0.12,0.0,1,0.12,0.408258,0.615023,0.674442
family_cap=2,4,2,0.12,0.0,1,0.12,0.424644,0.634438,1.046938
family_cap=3,4,3,0.12,0.0,1,0.12,0.430527,0.639383,0.925168
family_cap=4,4,4,0.12,0.0,1,0.12,0.430527,0.639383,0.94014
source_bonus=0.0,4,3,0.0,0.0,1,0.12,0.441976,0.679666,0.892995
source_bonus=0.06,4,3,0.06,0.0,1,0.12,0.4465,0.675067,1.066262
source_bonus=0.12,4,3,0.12,0.0,1,0.12,0.430527,0.639383,1.13373
source_bonus=0.24,4,3,0.24,0.0,1,0.12,0.408258,0.613863,0.921471
redundancy_penalty=0.0,4,3,0.12,0.0,1,0.12,0.430527,0.639383,0.937752
redundancy_penalty=0.16,4,3,0.12,0.16,1,0.12,0.41386,0.623753,1.056436
redundancy_penalty=0.32,4,3,0.12,0.32,1,0.12,0.408188,0.612271,1.083946
redundancy_penalty=0.48,4,3,0.12,0.48,1,0.12,0.403286,0.605027,0.907395
graph_hops=0,4,3,0.12,0.0,0,0.12,0.436899,0.649273,0.922627
graph_hops=1,4,3,0.12,0.0,1,0.12,0.430527,0.639383,1.001178
graph_hops=2,4,3,0.12,0.0,2,0.12,0.430527,0.639383,0.971482
graph_hops=3,4,3,0.12,0.0,3,0.12,0.430527,0.639383,0.925835
graph_weight=0.0,4,3,0.12,0.0,1,0.0,0.41463,0.622957,0.918095
graph_weight=0.06,4,3,0.12,0.0,1,0.06,0.425415,0.633642,1.038254
graph_weight=0.12,4,3,0.12,0.0,1,0.12,0.430527,0.639383,0.917937
graph_weight=0.24,4,3,0.12,0.0,1,0.24,0.440198,0.665177,0.920782
