arm,precision,subset,rows,scenario_count,exact_set_including_empty,nonempty_exact_success,pointer_f1,rank_ndcg,support_f1,support_ap,support_ece,requested_raw_cardinality_accuracy,controller_p50_ms,controller_p95_ms,model_bytes
B0,fp32,train_all,32,8,16,11,0.5302083333333333,0.8132382451369108,0.7627118644067797,0.8327678538505918,0.0747215735852419,0.71875,1.414655,1.6002828,5071982
B0,fp32,train_original,32,8,16,11,0.5302083333333333,0.8132382451369108,0.7627118644067797,0.8327678538505918,0.0747215735852419,0.71875,1.414655,1.6002828,5071982
B0,fp32,validation_all,8,2,1,1,0.35,0.6192639775150847,0.7083333333333333,0.6646111795840898,0.13270989741597855,0.25,1.4002045,1.4364394999999999,5071982
B0,fp32,validation_original,8,2,1,1,0.35,0.6192639775150847,0.7083333333333333,0.6646111795840898,0.13270989741597855,0.25,1.4002045,1.4364394999999999,5071982
B0,int8,train_all,32,8,16,11,0.5197916666666667,0.8068235482829517,0.75,0.8272040595739413,0.07752975701686725,0.71875,1.7583905,1.77752975,1342935
B0,int8,train_original,32,8,16,11,0.5197916666666667,0.8068235482829517,0.75,0.8272040595739413,0.07752975701686725,0.71875,1.7583905,1.77752975,1342935
B0,int8,validation_all,8,2,1,1,0.35,0.6192639775150847,0.7083333333333333,0.6674957949687051,0.13076713085174563,0.25,1.7621375,1.79709495,1342935
B0,int8,validation_original,8,2,1,1,0.35,0.6192639775150847,0.7083333333333333,0.6674957949687051,0.13076713085174563,0.25,1.7621375,1.79709495,1342935
M0,fp32,train_all,129,8,48,11,0.1359173126614987,0.7021156266230391,0.7660414610069102,0.8349428713130524,0.10111503957440611,0.4108527131782946,1.4158724999999999,1.4597764,5071982
M0,fp32,train_derived,97,8,40,8,0.1429553264604811,0.6746940913064573,0.7665317139001351,0.8396398627256437,0.10369208246415992,0.4536082474226804,1.415779,1.4558233999999999,5071982
M0,fp32,train_original,32,8,8,3,0.11458333333333333,0.7681304338666622,0.7647058823529411,0.8221622490875339,0.09390190947594955,0.28125,1.4163705000000002,1.4932388499999998,5071982
M0,fp32,validation_all,36,2,12,0,0.0,0.5188453521351607,0.7076923076923077,0.6783150454677186,0.09756452129000706,0.3333333333333333,1.415083,1.5855801999999999,5071982
M0,fp32,validation_derived,28,2,11,0,0.0,0.47798738741874847,0.7000000000000001,0.6625648757843617,0.1013970892507951,0.39285714285714285,1.4147165,1.58589705,5071982
M0,fp32,validation_original,8,2,1,0,0.0,0.6180718378750187,0.7272727272727273,0.7174326205535817,0.08759984459195816,0.125,1.4169445,1.5789583999999999,5071982
M0,int8,train_all,129,8,53,16,0.1457364341085271,0.7029882267409936,0.7612244897959184,0.8234856361470625,0.10198322364262173,0.4108527131782946,1.778267,2.0822957499999997,1342926
M0,int8,train_derived,97,8,44,12,0.15257731958762885,0.6746940913064573,0.7608391608391608,0.8269580097115357,0.10489172267742602,0.4536082474226804,1.777914,2.08387695,1342926
M0,int8,train_original,32,8,9,4,0.125,0.7711037379722848,0.7622641509433962,0.813994562825148,0.09599045353319179,0.28125,1.7791135,2.0752329,1342926
M0,int8,validation_all,36,2,12,0,0.0,0.5188453521351607,0.7076923076923077,0.6821808183154637,0.09569746728927367,0.3333333333333333,1.7725855,1.82351915,1342926
M0,int8,validation_derived,28,2,11,0,0.0,0.47798738741874847,0.7000000000000001,0.6706382166471115,0.09942840219853999,0.39285714285714285,1.771528,1.8183797,1342926
M0,int8,validation_original,8,2,1,0,0.0,0.6180718378750187,0.7272727272727273,0.7128136043041307,0.08599703652518136,0.125,1.7756645,1.8439682999999998,1342926
