arm,precision,subset,policy,local_answer_coverage,local_teacher_disagreement,fallback_rate,abstain_rate,replayed_teacher_calls,teacher_call_avoidance_fraction,replayed_final_answer_coverage,mean_declared_utility_cost,mean_route_regret
B0,fp32,train_all,R0_always_local,0.75,0.5416666666666666,0.0,0.25,0,1.0,0.75,24.0625,17.34375
B0,fp32,train_all,R1_always_teacher,0.0,,1.0,0.0,32,0.0,0.84375,16.8125,10.09375
B0,fp32,train_all,R2_always_abstain,0.0,,0.0,1.0,0,1.0,0.0,12.0,5.28125
B0,fp32,train_all,R3_confidence,0.125,0.75,0.875,0.0,28,0.125,0.84375,20.5,13.78125
B0,fp32,train_all,R3_entropy,0.0,,1.0,0.0,32,0.0,0.84375,16.8125,10.09375
B0,fp32,train_all,cost_sensitive_route,0.0,,0.6875,0.3125,22,0.3125,0.6875,9.9375,3.21875
B0,fp32,train_original,R0_always_local,0.75,0.5416666666666666,0.0,0.25,0,1.0,0.75,24.0625,17.34375
B0,fp32,train_original,R1_always_teacher,0.0,,1.0,0.0,32,0.0,0.84375,16.8125,10.09375
B0,fp32,train_original,R2_always_abstain,0.0,,0.0,1.0,0,1.0,0.0,12.0,5.28125
B0,fp32,train_original,R3_confidence,0.125,0.75,0.875,0.0,28,0.125,0.84375,20.5,13.78125
B0,fp32,train_original,R3_entropy,0.0,,1.0,0.0,32,0.0,0.84375,16.8125,10.09375
B0,fp32,train_original,cost_sensitive_route,0.0,,0.6875,0.3125,22,0.3125,0.6875,9.9375,3.21875
B0,fp32,validation_all,R0_always_local,0.75,0.8333333333333334,0.0,0.25,0,1.0,0.75,35.0,26.625
B0,fp32,validation_all,R1_always_teacher,0.0,,1.0,0.0,8,0.0,0.875,15.25,6.875
B0,fp32,validation_all,R2_always_abstain,0.0,,0.0,1.0,0,1.0,0.0,12.0,3.625
B0,fp32,validation_all,R3_confidence,0.0,,1.0,0.0,8,0.0,0.875,15.25,6.875
B0,fp32,validation_all,R3_entropy,0.0,,1.0,0.0,8,0.0,0.875,15.25,6.875
B0,fp32,validation_all,cost_sensitive_route,0.0,,0.75,0.25,6,0.25,0.75,9.75,1.375
B0,fp32,validation_original,R0_always_local,0.75,0.8333333333333334,0.0,0.25,0,1.0,0.75,35.0,26.625
B0,fp32,validation_original,R1_always_teacher,0.0,,1.0,0.0,8,0.0,0.875,15.25,6.875
B0,fp32,validation_original,R2_always_abstain,0.0,,0.0,1.0,0,1.0,0.0,12.0,3.625
B0,fp32,validation_original,R3_confidence,0.0,,1.0,0.0,8,0.0,0.875,15.25,6.875
B0,fp32,validation_original,R3_entropy,0.0,,1.0,0.0,8,0.0,0.875,15.25,6.875
B0,fp32,validation_original,cost_sensitive_route,0.0,,0.75,0.25,6,0.25,0.75,9.75,1.375
B0,int8,train_all,R0_always_local,0.75,0.5416666666666666,0.0,0.25,0,1.0,0.75,24.0625,17.34375
B0,int8,train_all,R1_always_teacher,0.0,,1.0,0.0,32,0.0,0.84375,16.8125,10.09375
B0,int8,train_all,R2_always_abstain,0.0,,0.0,1.0,0,1.0,0.0,12.0,5.28125
B0,int8,train_all,R3_confidence,0.125,0.75,0.875,0.0,28,0.125,0.84375,20.5,13.78125
B0,int8,train_all,R3_entropy,0.0,,1.0,0.0,32,0.0,0.84375,16.8125,10.09375
B0,int8,train_all,cost_sensitive_route,0.0,,0.6875,0.3125,22,0.3125,0.6875,9.9375,3.21875
B0,int8,train_original,R0_always_local,0.75,0.5416666666666666,0.0,0.25,0,1.0,0.75,24.0625,17.34375
B0,int8,train_original,R1_always_teacher,0.0,,1.0,0.0,32,0.0,0.84375,16.8125,10.09375
B0,int8,train_original,R2_always_abstain,0.0,,0.0,1.0,0,1.0,0.0,12.0,5.28125
B0,int8,train_original,R3_confidence,0.125,0.75,0.875,0.0,28,0.125,0.84375,20.5,13.78125
B0,int8,train_original,R3_entropy,0.0,,1.0,0.0,32,0.0,0.84375,16.8125,10.09375
B0,int8,train_original,cost_sensitive_route,0.0,,0.6875,0.3125,22,0.3125,0.6875,9.9375,3.21875
B0,int8,validation_all,R0_always_local,0.75,0.8333333333333334,0.0,0.25,0,1.0,0.75,35.0,26.625
B0,int8,validation_all,R1_always_teacher,0.0,,1.0,0.0,8,0.0,0.875,15.25,6.875
B0,int8,validation_all,R2_always_abstain,0.0,,0.0,1.0,0,1.0,0.0,12.0,3.625
B0,int8,validation_all,R3_confidence,0.0,,1.0,0.0,8,0.0,0.875,15.25,6.875
B0,int8,validation_all,R3_entropy,0.0,,1.0,0.0,8,0.0,0.875,15.25,6.875
B0,int8,validation_all,cost_sensitive_route,0.0,,0.75,0.25,6,0.25,0.75,9.75,1.375
B0,int8,validation_original,R0_always_local,0.75,0.8333333333333334,0.0,0.25,0,1.0,0.75,35.0,26.625
