arm,seed,best_epoch,subset,rows,scenarios,raw_zero_n,nonempty_n,raw_zero_rate,decoded_empty_rate,raw_cardinality_accuracy,decoded_cardinality_accuracy,pointer_f1,teacher_empty_false_fill_n,teacher_empty_n,teacher_empty_false_fill_rate,no_available_false_fill_n,no_available_n
all_fields,7042027,1,train_all,129,8,56,92,0.6086956521739131,0.6086956521739131,0.46511627906976744,0.4573643410852713,0.1746770025839793,0,37,0.0,0,32
all_fields,7042027,1,train_original,32,8,19,27,0.7037037037037037,0.7037037037037037,0.3125,0.3125,0.14375,0,5,0.0,0,4
all_fields,7042027,1,train_derived,97,8,37,65,0.5692307692307692,0.5692307692307692,0.5154639175257731,0.5051546391752577,0.18487972508591066,0,32,0.0,0,28
all_fields,7042027,1,validation_all,36,2,24,24,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0,12,0.0,0,8
all_fields,7042027,1,validation_original,8,2,7,7,1.0,1.0,0.125,0.125,0.0,0,1,0.0,0,0
all_fields,7042027,1,validation_derived,28,2,17,17,1.0,1.0,0.39285714285714285,0.39285714285714285,0.0,0,11,0.0,0,8
requested_balanced,7042027,2,train_all,129,8,0,92,0.0,0.17391304347826086,0.7906976744186046,0.6589147286821705,0.4196382428940569,5,37,0.13513513513513514,0,32
requested_balanced,7042027,2,train_original,32,8,0,27,0.0,0.14814814814814814,0.8125,0.6875,0.5677083333333333,1,5,0.2,0,4
requested_balanced,7042027,2,train_derived,97,8,0,65,0.0,0.18461538461538463,0.7835051546391752,0.6494845360824743,0.37079037800687287,4,32,0.125,0,28
requested_balanced,7042027,2,validation_all,36,2,3,24,0.125,0.125,0.5277777777777778,0.5277777777777778,0.35,3,12,0.25,0,8
requested_balanced,7042027,2,validation_original,8,2,1,7,0.14285714285714285,0.14285714285714285,0.5,0.5,0.475,1,1,1.0,0,0
requested_balanced,7042027,2,validation_derived,28,2,2,17,0.11764705882352941,0.11764705882352941,0.5357142857142857,0.5357142857142857,0.3142857142857142,2,11,0.18181818181818182,0,8
all_fields,7042028,1,train_all,129,8,67,92,0.7282608695652174,0.7282608695652174,0.3875968992248062,0.3875968992248062,0.13049095607235142,0,37,0.0,0,32
all_fields,7042028,1,train_original,32,8,22,27,0.8148148148148148,0.8148148148148148,0.21875,0.21875,0.11458333333333334,0,5,0.0,0,4
all_fields,7042028,1,train_derived,97,8,45,65,0.6923076923076923,0.6923076923076923,0.44329896907216493,0.44329896907216493,0.13573883161512024,0,32,0.0,0,28
all_fields,7042028,1,validation_all,36,2,23,24,0.9583333333333334,0.9583333333333334,0.3333333333333333,0.3333333333333333,0.018518518518518517,0,12,0.0,0,8
all_fields,7042028,1,validation_original,8,2,6,7,0.8571428571428571,0.8571428571428571,0.125,0.125,0.08333333333333333,0,1,0.0,0,0
all_fields,7042028,1,validation_derived,28,2,17,17,1.0,1.0,0.39285714285714285,0.39285714285714285,0.0,0,11,0.0,0,8
