arm,subset,scenarios,seed,nonempty_success,rows,scenario_macro_pointer_f1,utility_cost,regret
A1,train_original,8,7042027,9,32,0.6135416666666667,32.0625,24.84375
A1,train_original,8,7042028,9,32,0.6010416666666666,32.0625,24.84375
A1,train_original,8,7042029,9,32,0.5854166666666667,32.0625,24.84375
A1,validation_original,2,7042027,2,8,0.5583333333333333,38.5,31.125
A1,validation_original,2,7042028,2,8,0.5166666666666666,38.5,31.125
A1,validation_original,2,7042029,2,8,0.475,38.5,31.125
A1,train_all,8,7042027,28,129,0.5018078411920324,30.472868217054263,22.348837209302324
A1,train_all,8,7042028,31,129,0.489083897447868,29.310077519379846,21.372093023255815
A1,train_all,8,7042029,31,129,0.49851506574852156,29.310077519379846,21.372093023255815
A1,validation_all,2,7042027,4,36,0.38746130030959747,36.77777777777778,27.666666666666668
A1,validation_all,2,7042028,4,36,0.3462848297213622,36.77777777777778,27.666666666666668
A1,validation_all,2,7042029,4,36,0.3129514963880289,36.77777777777778,27.666666666666668
A2,train_original,8,7042027,9,32,0.5885416666666666,32.0625,24.84375
A2,train_original,8,7042028,9,32,0.5416666666666666,25.96875,18.75
A2,train_original,8,7042029,7,32,0.46249999999999997,27.875,20.15625
A2,validation_original,2,7042027,2,8,0.5583333333333333,38.5,31.125
A2,validation_original,2,7042028,3,8,0.5499999999999999,32.25,25.875
A2,validation_original,2,7042029,2,8,0.42499999999999993,28.75,21.375
A2,train_all,8,7042027,28,129,0.4732692382508559,30.472868217054263,22.348837209302324
A2,train_all,8,7042028,27,129,0.42260528516962337,24.813953488372093,16.627906976744185
A2,train_all,8,7042029,21,129,0.3621748560535325,25.325581395348838,16.767441860465116
A2,validation_all,2,7042027,4,36,0.38746130030959747,36.77777777777778,27.666666666666668
A2,validation_all,2,7042028,7,36,0.4093395252837977,31.52777777777778,23.083333333333332
A2,validation_all,2,7042029,4,36,0.2740454076367389,27.02777777777778,17.916666666666668
A3,train_original,8,7042027,1,32,0.14375,20.1875,10.96875
A3,train_original,8,7042028,1,32,0.11458333333333333,16.53125,7.3125
A3,train_original,8,7042029,1,32,0.05208333333333333,12.875,3.65625
A3,validation_original,2,7042027,0,8,0.0,12.0,2.625
A3,validation_original,2,7042028,0,8,0.08333333333333333,16.875,7.5
A3,validation_original,2,7042029,0,8,0.08333333333333333,16.875,7.5
A3,train_all,8,7042027,10,129,0.18670304232804233,19.007751937984494,9.767441860465116
A3,train_all,8,7042028,5,129,0.1332294584500467,17.62015503875969,8.069767441860465
A3,train_all,8,7042029,8,129,0.08166666666666667,11.922480620155039,2.558139534883721
A3,validation_all,2,7042027,0,36,0.0,12.0,2.0
A3,validation_all,2,7042028,0,36,0.0196078431372549,13.083333333333334,3.0833333333333335
A3,validation_all,2,7042029,0,36,0.10490196078431373,17.416666666666668,7.416666666666667
A4,train_original,8,7042027,1,32,0.14375,12.0,2.78125
A4,train_original,8,7042028,1,32,0.11458333333333333,12.0,2.78125
A4,train_original,8,7042029,1,32,0.05208333333333333,12.0,2.78125
A4,validation_original,2,7042027,0,8,0.0,12.0,2.625
A4,validation_original,2,7042028,0,8,0.08333333333333333,12.0,2.625
A4,validation_original,2,7042029,0,8,0.08333333333333333,12.0,2.625
A4,train_all,8,7042027,10,129,0.18670304232804233,12.0,2.75968992248062
A4,train_all,8,7042028,5,129,0.1332294584500467,12.0,2.449612403100775
A4,train_all,8,7042029,8,129,0.08166666666666667,12.0,2.635658914728682
A4,validation_all,2,7042027,0,36,0.0,12.0,2.0
A4,validation_all,2,7042028,0,36,0.0196078431372549,12.0,2.0
A4,validation_all,2,7042029,0,36,0.10490196078431373,12.0,2.0
