arm,seed,best_epoch,subset,rows,raw_zero_n,nonempty_n,raw_cardinality_accuracy,decoded_cardinality_accuracy,pointer_f1,empty_false_n,empty_n,hard_false_n,hard_n,unavailable_false_n,unavailable_n,raw_contract_violation_rate,violation_mass
C0,7042027,2,train_all,129,0,92,0.7906976744186046,0.6589147286821705,0.4196382428940569,5,37,5,5,0,32,0.1937984496124031,0.2136910650157189
C0,7042027,2,train_original,32,0,27,0.8125,0.6875,0.5677083333333333,1,5,1,1,0,4,0.15625,0.2774879848584533
C0,7042027,2,train_derived,97,0,65,0.7835051546391752,0.6494845360824743,0.37079037800687287,4,32,4,4,0,28,0.20618556701030927,0.19264465846966222
C0,7042027,2,validation_all,36,3,24,0.5277777777777778,0.5277777777777778,0.35,3,12,3,4,0,8,0.1111111111111111,0.3186017514930831
C0,7042027,2,validation_original,8,1,7,0.5,0.5,0.475,1,1,1,1,0,0,0.125,0.3934892266988754
C0,7042027,2,validation_derived,28,2,17,0.5357142857142857,0.5357142857142857,0.3142857142857142,2,11,2,3,0,8,0.10714285714285714,0.29720533000571386
W1,7042027,1,train_all,129,29,92,0.5193798449612403,0.32558139534883723,0.020671834625322995,0,37,0,5,0,32,0.4883720930232558,0.39119064519109653
W1,7042027,1,train_original,32,11,27,0.34375,0.1875,0.020833333333333332,0,5,0,1,0,4,0.5,0.44810592802241445
W1,7042027,1,train_derived,97,18,65,0.5773195876288659,0.3711340206185567,0.020618556701030927,0,32,0,4,0,28,0.4845360824742268,0.37241446941169265
W1,7042027,1,validation_all,36,10,24,0.5,0.3333333333333333,0.0,0,12,0,4,0,8,0.4444444444444444,0.4393407615522544
W1,7042027,1,validation_original,8,3,7,0.375,0.125,0.0,0,1,0,1,0,0,0.5,0.5504728574305773
W1,7042027,1,validation_derived,28,7,17,0.5357142857142857,0.39285714285714285,0.0,0,11,0,3,0,8,0.42857142857142855,0.4075887341584478
J1,7042027,1,train_all,129,29,92,0.5193798449612403,0.34108527131782945,0.05219638242894058,0,37,0,5,0,32,0.4496124031007752,0.37483455933803733
J1,7042027,1,train_original,32,11,27,0.34375,0.21875,0.041666666666666664,0,5,0,1,0,4,0.4375,0.42773124063387513
J1,7042027,1,train_derived,97,18,65,0.5773195876288659,0.38144329896907214,0.05567010309278351,0,32,0,4,0,28,0.4536082474226804,0.35738410777652385
J1,7042027,1,validation_all,36,9,24,0.5,0.3333333333333333,0.0,0,12,0,4,0,8,0.4444444444444444,0.4252314037746853
J1,7042027,1,validation_original,8,3,7,0.375,0.125,0.0,0,1,0,1,0,0,0.5,0.5313559770584106
J1,7042027,1,validation_derived,28,6,17,0.5357142857142857,0.39285714285714285,0.0,0,11,0,3,0,8,0.42857142857142855,0.3949100971221924
C0,7042028,1,train_all,129,10,92,0.7364341085271318,0.6976744186046512,0.37803617571059434,0,37,0,5,0,32,0.15503875968992248,0.3089932884818824
C0,7042028,1,train_original,32,6,27,0.625,0.5625,0.38645833333333335,0,5,0,1,0,4,0.21875,0.3788479706272483
C0,7042028,1,train_derived,97,4,65,0.7731958762886598,0.7422680412371134,0.3752577319587628,0,32,0,4,0,28,0.13402061855670103,0.28594844488753485
C0,7042028,1,validation_all,36,18,24,0.4166666666666667,0.4166666666666667,0.1388888888888889,0,12,0,4,0,8,0.3333333333333333,0.4115730904870563
C0,7042028,1,validation_original,8,4,7,0.375,0.375,0.3333333333333333,0,1,0,1,0,0,0.25,0.5164215080440044
C0,7042028,1,validation_derived,28,14,17,0.42857142857142855,0.42857142857142855,0.08333333333333333,0,11,0,3,0,8,0.35714285714285715,0.3816163997564997
W1,7042028,1,train_all,129,10,92,0.7286821705426356,0.2868217054263566,0.0,0,37,0,5,0,32,0.7054263565891473,0.4679451707259629
W1,7042028,1,train_original,32,6,27,0.59375,0.15625,0.0,0,5,0,1,0,4,0.78125,0.5462737726047635
W1,7042028,1,train_derived,97,4,65,0.7731958762886598,0.32989690721649484,0.0,0,32,0,4,0,28,0.6804123711340206,0.4421048072195545
W1,7042028,1,validation_all,36,15,24,0.4444444444444444,0.3333333333333333,0.0,0,12,0,4,0,8,0.4722222222222222,0.5465833524035083
W1,7042028,1,validation_original,8,4,7,0.375,0.125,0.0,0,1,0,1,0,0,0.625,0.7024133447557688
W1,7042028,1,validation_derived,28,11,17,0.4642857142857143,0.39285714285714285,0.0,0,11,0,3,0,8,0.42857142857142855,0.5020604974457196
J1,7042028,1,train_all,129,11,92,0.7131782945736435,0.3023255813953488,0.031524547803617575,0,37,0,5,0,32,0.6821705426356589,0.44709784300752387
J1,7042028,1,train_original,32,6,27,0.59375,0.1875,0.020833333333333332,0,5,0,1,0,4,0.71875,0.5226562223397195
J1,7042028,1,train_derived,97,5,65,0.7525773195876289,0.3402061855670103,0.03505154639175258,0,32,0,4,0,28,0.6701030927835051,0.4221713673515418
J1,7042028,1,validation_all,36,10,24,0.5,0.3333333333333333,0.0,0,12,0,4,0,8,0.4722222222222222,0.5305013900829686
J1,7042028,1,validation_original,8,3,7,0.375,0.125,0.0,0,1,0,1,0,0,0.625,0.6804566197097301
J1,7042028,1,validation_derived,28,7,17,0.5357142857142857,0.39285714285714285,0.0,0,11,0,3,0,8,0.42857142857142855,0.4876570387610367
C0,7042029,1,train_all,129,19,92,0.6356589147286822,0.5813953488372093,0.2713178294573643,0,37,0,5,0,32,0.34108527131782945,0.30512065203614935
C0,7042029,1,train_original,32,9,27,0.5625,0.46875,0.2677083333333333,0,5,0,1,0,4,0.40625,0.374577640555799
C0,7042029,1,train_derived,97,10,65,0.6597938144329897,0.6185567010309279,0.27250859106529207,0,32,0,4,0,28,0.31958762886597936,0.28220700633894535
C0,7042029,1,validation_all,36,10,24,0.4722222222222222,0.3611111111111111,0.1388888888888889,0,12,0,4,0,8,0.3333333333333333,0.38982632756233215
C0,7042029,1,validation_original,8,3,7,0.25,0.125,0.23333333333333334,0,1,0,1,0,0,0.375,0.5065226964652538
C0,7042029,1,validation_derived,28,7,17,0.5357142857142857,0.42857142857142855,0.11190476190476191,0,11,0,3,0,8,0.32142857142857145,0.3564845078757831
