arm,seed,best_epoch,subset,raw_zero_n,nonempty_n,decoded_empty_n,raw_cardinality_accuracy,decoded_cardinality_accuracy,pointer_f1,support_positive_recall,support_auc,teacher_empty_false_n,teacher_empty_n,hard_empty_false_n,hard_empty_n
C0,7042027,2,train_all,0,92,16,0.7906976744186046,0.6589147286821705,0.4196382428940569,0.6457831325301204,0.8571282196233615,5,37,5,5
C0,7042027,2,train_original,0,27,4,0.8125,0.6875,0.5677083333333333,0.6666666666666666,0.846027846027846,1,5,1,1
C0,7042027,2,train_derived,0,65,12,0.7835051546391752,0.6494845360824743,0.37079037800687287,0.6381578947368421,0.8609059704597462,4,32,4,4
C0,7042027,2,validation_all,3,24,3,0.5277777777777778,0.5277777777777778,0.35,0.7971014492753623,0.6402237477752352,3,12,3,4
C0,7042027,2,validation_original,1,7,1,0.5,0.5,0.475,0.8,0.6533333333333333,1,1,1,1
C0,7042027,2,validation_derived,2,17,2,0.5357142857142857,0.5357142857142857,0.3142857142857142,0.7959183673469388,0.6370262390670554,2,11,2,3
W1,7042027,1,train_all,29,92,87,0.5193798449612403,0.32558139534883723,0.020671834625322995,0.13493975903614458,0.7246899621948203,0,37,0,5
W1,7042027,1,train_original,11,27,26,0.34375,0.1875,0.020833333333333332,0.10810810810810811,0.7123259623259623,0,5,0,1
W1,7042027,1,train_derived,18,65,61,0.5773195876288659,0.3711340206185567,0.020618556701030927,0.14473684210526316,0.7291319950072811,0,32,0,4
W1,7042027,1,validation_all,10,24,24,0.5,0.3333333333333333,0.0,0.0,0.5090261886600559,0,12,0,4
W1,7042027,1,validation_original,3,7,7,0.375,0.125,0.0,0.0,0.52,0,1,0,1
W1,7042027,1,validation_derived,7,17,17,0.5357142857142857,0.39285714285714285,0.0,0.0,0.5048590864917396,0,11,0,3
G1,7042027,1,train_all,41,92,41,0.46511627906976744,0.46511627906976744,0.21472868217054267,1.0,0.6720453662155955,0,37,0,5
G1,7042027,1,train_original,14,27,14,0.3125,0.3125,0.234375,1.0,0.6444512694512694,0,5,0,1
G1,7042027,1,train_derived,27,65,27,0.5154639175257731,0.5154639175257731,0.2082474226804124,1.0,0.6826893072602455,0,32,0,4
G1,7042027,1,validation_all,15,24,15,0.4444444444444444,0.4444444444444444,0.1361111111111111,1.0,0.45486905669972033,0,12,0,4
G1,7042027,1,validation_original,4,7,4,0.375,0.375,0.2708333333333333,1.0,0.47333333333333333,0,1,0,1
G1,7042027,1,validation_derived,11,17,11,0.4642857142857143,0.4642857142857143,0.0976190476190476,1.0,0.44752186588921283,0,11,0,3
C0,7042028,1,train_all,10,92,14,0.7364341085271318,0.6976744186046512,0.37803617571059434,0.8120481927710843,0.7621064904780412,0,37,0,5
C0,7042028,1,train_original,6,27,7,0.625,0.5625,0.38645833333333335,0.8288288288288288,0.7534807534807535,0,5,0,1
C0,7042028,1,train_derived,4,65,7,0.7731958762886598,0.7422680412371134,0.3752577319587628,0.805921052631579,0.765082171832744,0,32,0,4
C0,7042028,1,validation_all,18,24,18,0.4166666666666667,0.4166666666666667,0.1388888888888889,1.0,0.6712433257055682,0,12,0,4
C0,7042028,1,validation_original,4,7,4,0.375,0.375,0.3333333333333333,1.0,0.6833333333333333,0,1,0,1
C0,7042028,1,validation_derived,14,17,14,0.42857142857142855,0.42857142857142855,0.08333333333333333,1.0,0.6681243926141885,0,11,0,3
W1,7042028,1,train_all,10,92,92,0.7286821705426356,0.2868217054263566,0.0,0.0,0.7752358407235982,0,37,0,5
W1,7042028,1,train_original,6,27,27,0.59375,0.15625,0.0,0.0,0.769041769041769,0,5,0,1
W1,7042028,1,train_derived,4,65,65,0.7731958762886598,0.32989690721649484,0.0,0.0,0.7773559392552527,0,32,0,4
W1,7042028,1,validation_all,15,24,24,0.4444444444444444,0.3333333333333333,0.0,0.0,0.6732773963895246,0,12,0,4
W1,7042028,1,validation_original,4,7,7,0.375,0.125,0.0,0.0,0.6966666666666667,0,1,0,1
W1,7042028,1,validation_derived,11,17,17,0.4642857142857143,0.39285714285714285,0.0,0.0,0.6652089407191448,0,11,0,3
G1,7042028,1,train_all,25,92,25,0.5193798449612403,0.5193798449612403,0.29043927648578816,1.0,0.7548351764830583,0,37,0,5
G1,7042028,1,train_original,10,27,10,0.34375,0.34375,0.33124999999999993,1.0,0.7234848484848485,0,5,0,1
G1,7042028,1,train_derived,15,65,15,0.5773195876288659,0.5773195876288659,0.27697594501718215,1.0,0.7664863740378615,0,32,0,4
G1,7042028,1,validation_all,10,24,10,0.5,0.5,0.1361111111111111,1.0,0.5677599796592931,0,12,0,4
G1,7042028,1,validation_original,3,7,3,0.375,0.375,0.2708333333333333,1.0,0.6033333333333334,0,1,0,1
G1,7042028,1,validation_derived,7,17,7,0.5357142857142857,0.5357142857142857,0.0976190476190476,1.0,0.5549076773566569,0,11,0,3
C0,7042029,1,train_all,19,92,44,0.6356589147286822,0.5813953488372093,0.2713178294573643,0.6409638554216868,0.7897643359361198,0,37,0,5
C0,7042029,1,train_original,9,27,15,0.5625,0.46875,0.2677083333333333,0.6576576576576577,0.7726248976248976,0,5,0,1
C0,7042029,1,train_derived,10,65,29,0.6597938144329897,0.6185567010309279,0.27250859106529207,0.6348684210526315,0.7957145828999376,0,32,0,4
C0,7042029,1,validation_all,10,24,15,0.4722222222222222,0.3611111111111111,0.1388888888888889,0.5652173913043478,0.5995423340961098,0,12,0,4
C0,7042029,1,validation_original,3,7,4,0.25,0.125,0.23333333333333334,0.65,0.6033333333333334,0,1,0,1
C0,7042029,1,validation_derived,7,17,11,0.5357142857142857,0.42857142857142855,0.11190476190476191,0.5306122448979592,0.598153547133139,0,11,0,3
W1,7042029,2,train_all,0,92,49,0.7751937984496124,0.5503875968992248,0.2560723514211886,0.4602409638554217,0.8229056990425043,0,37,0,5
W1,7042029,2,train_original,0,27,16,0.8125,0.4375,0.2791666666666667,0.42342342342342343,0.8065110565110565,0,5,0,1
W1,7042029,2,train_derived,0,65,33,0.7628865979381443,0.5876288659793815,0.24845360824742269,0.47368421052631576,0.8288823590597046,0,32,0,4
W1,7042029,2,validation_all,0,24,18,0.5277777777777778,0.4166666666666667,0.1148148148148148,0.08695652173913043,0.6636155606407322,0,12,0,4
W1,7042029,2,validation_original,0,7,5,0.625,0.25,0.225,0.15,0.7166666666666667,0,1,0,1
W1,7042029,2,validation_derived,0,17,13,0.5,0.4642857142857143,0.08333333333333333,0.061224489795918366,0.6423712342079689,0,11,0,3
G1,7042029,1,train_all,27,92,27,0.5736434108527132,0.5736434108527132,0.265374677002584,1.0,0.6668091721725612,0,37,0,5
G1,7042029,1,train_original,12,27,12,0.46875,0.46875,0.23020833333333332,1.0,0.638001638001638,0,5,0,1
G1,7042029,1,train_derived,15,65,15,0.6082474226804123,0.6082474226804123,0.2769759450171821,1.0,0.6775405658414811,0,32,0,4
G1,7042029,1,validation_all,15,24,15,0.4444444444444444,0.4444444444444444,0.03888888888888889,1.0,0.61581489956776,0,12,0,4
G1,7042029,1,validation_original,5,7,5,0.25,0.25,0.05,1.0,0.5966666666666667,0,1,0,1
G1,7042029,1,validation_derived,10,17,10,0.5,0.5,0.03571428571428571,1.0,0.6258503401360545,0,11,0,3
