arm,seed,best_epoch,subset,raw_zero_n,nonempty_n,decoded_empty_n,raw_cardinality_accuracy,decoded_cardinality_accuracy,pointer_f1,positive_recall,negative_false_accept,support_auc,support_ap,teacher_empty_false_n,teacher_empty_n,hard_empty_false_n,hard_empty_n
C0,7042027,2,train_all,0,92,16,0.7906976744186046,0.6589147286821705,0.4196382428940569,0.6457831325301204,0.1436950146627566,0.8571282196233615,0.882573428553869,5,37,5,5
C0,7042027,2,train_original,0,27,4,0.8125,0.6875,0.5677083333333333,0.6666666666666666,0.17045454545454544,0.846027846027846,0.8756289828995738,1,5,1,1
C0,7042027,2,train_derived,0,65,12,0.7835051546391752,0.6494845360824743,0.37079037800687287,0.6381578947368421,0.13438735177865613,0.8609059704597462,0.8851626405171892,4,32,4,4
C0,7042027,2,validation_all,3,24,3,0.5277777777777778,0.5277777777777778,0.35,0.7971014492753623,0.47368421052631576,0.6402237477752352,0.6601990438769882,3,12,3,4
C0,7042027,2,validation_original,1,7,1,0.5,0.5,0.475,0.8,0.5333333333333333,0.6533333333333333,0.7378530318759022,1,1,1,1
C0,7042027,2,validation_derived,2,17,2,0.5357142857142857,0.5357142857142857,0.3142857142857142,0.7959183673469388,0.4523809523809524,0.6370262390670554,0.6310481309517794,2,11,2,3
S0,7042027,2,train_all,0,92,11,0.7829457364341085,0.6976744186046512,0.4310077519379845,0.6771084337349398,0.1436950146627566,0.8600890364978977,0.8845682001748951,5,37,5,5
S0,7042027,2,train_original,0,27,3,0.78125,0.6875,0.5697916666666667,0.6936936936936937,0.17045454545454544,0.8493038493038493,0.8778748035576461,1,5,1,1
S0,7042027,2,train_derived,0,65,8,0.7835051546391752,0.7010309278350515,0.3852233676975944,0.6710526315789473,0.13438735177865613,0.8637143748699813,0.8870329373695847,4,32,4,4
S0,7042027,2,validation_all,3,24,3,0.5277777777777778,0.5277777777777778,0.35,0.7971014492753623,0.5263157894736842,0.6374269005847953,0.6593399488376808,3,12,3,4
S0,7042027,2,validation_original,1,7,1,0.5,0.5,0.475,0.8,0.6,0.65,0.7364037565135834,1,1,1,1
S0,7042027,2,validation_derived,2,17,2,0.5357142857142857,0.5357142857142857,0.3142857142857142,0.7959183673469388,0.5,0.6345966958211856,0.6306060618784646,2,11,2,3
S1,7042027,2,train_all,0,92,11,0.7829457364341085,0.6666666666666666,0.4155038759689922,0.6674698795180722,0.1495601173020528,0.8597957813659329,0.8838023653598445,5,37,5,5
S1,7042027,2,train_original,0,27,3,0.78125,0.65625,0.5385416666666667,0.6846846846846847,0.18181818181818182,0.848996723996724,0.8776532168435548,1,5,1,1
S1,7042027,2,train_derived,0,65,8,0.7835051546391752,0.6701030927835051,0.374914089347079,0.6611842105263158,0.1383399209486166,0.8634153318077803,0.8862684507065499,4,32,4,4
S1,7042027,2,validation_all,3,24,3,0.5277777777777778,0.5277777777777778,0.35,0.7971014492753623,0.5263157894736842,0.6414950419527079,0.6535507239676656,3,12,3,4
S1,7042027,2,validation_original,1,7,1,0.5,0.5,0.475,0.8,0.6,0.6533333333333333,0.7378530318759022,1,1,1,1
S1,7042027,2,validation_derived,2,17,2,0.5357142857142857,0.5357142857142857,0.3142857142857142,0.7959183673469388,0.5,0.6389698736637512,0.6223495514859023,2,11,2,3
C0,7042028,1,train_all,10,92,14,0.7364341085271318,0.6976744186046512,0.37803617571059434,0.8120481927710843,0.5043988269794721,0.7621064904780412,0.8165547122211878,0,37,0,5
C0,7042028,1,train_original,6,27,7,0.625,0.5625,0.38645833333333335,0.8288288288288288,0.5340909090909091,0.7534807534807535,0.8121696599215203,0,5,0,1
C0,7042028,1,train_derived,4,65,7,0.7731958762886598,0.7422680412371134,0.3752577319587628,0.805921052631579,0.49407114624505927,0.765082171832744,0.8183454729688966,0,32,0,4
C0,7042028,1,validation_all,18,24,18,0.4166666666666667,0.4166666666666667,0.1388888888888889,1.0,0.8421052631578947,0.6712433257055682,0.6736583897638848,0,12,0,4
C0,7042028,1,validation_original,4,7,4,0.375,0.375,0.3333333333333333,1.0,0.8666666666666667,0.6833333333333333,0.7532565571759191,0,1,0,1
C0,7042028,1,validation_derived,14,17,14,0.42857142857142855,0.42857142857142855,0.08333333333333333,1.0,0.8333333333333334,0.6681243926141885,0.6408532859165705,0,11,0,3
S0,7042028,1,train_all,10,92,14,0.7364341085271318,0.7131782945736435,0.37803617571059434,0.8289156626506025,0.5102639296187683,0.7621559551990955,0.8164416718379656,0,37,0,5
S0,7042028,1,train_original,6,27,7,0.625,0.59375,0.38645833333333335,0.8468468468468469,0.5454545454545454,0.7533783783783784,0.8117896751941587,0,5,0,1
S0,7042028,1,train_derived,4,65,7,0.7731958762886598,0.7525773195876289,0.3752577319587628,0.8223684210526315,0.4980237154150198,0.765147181194092,0.818291640466609,0,32,0,4
S0,7042028,1,validation_all,18,24,18,0.4166666666666667,0.4166666666666667,0.1388888888888889,1.0,0.9298245614035088,0.6712433257055682,0.6736583897638848,0,12,0,4
S0,7042028,1,validation_original,4,7,4,0.375,0.375,0.3333333333333333,1.0,0.9333333333333333,0.6833333333333333,0.7532565571759191,0,1,0,1
S0,7042028,1,validation_derived,14,17,14,0.42857142857142855,0.42857142857142855,0.08333333333333333,1.0,0.9285714285714286,0.6681243926141885,0.6408532859165705,0,11,0,3
S1,7042028,1,train_all,10,92,14,0.7364341085271318,0.7131782945736435,0.37803617571059434,0.8289156626506025,0.5102639296187683,0.762088824506236,0.8158029569174738,0,37,0,5
S1,7042028,1,train_original,6,27,7,0.625,0.59375,0.38645833333333335,0.8468468468468469,0.5454545454545454,0.7534807534807535,0.8120538782138333,0,5,0,1
S1,7042028,1,train_derived,4,65,7,0.7731958762886598,0.7525773195876289,0.3752577319587628,0.8223684210526315,0.4980237154150198,0.7650691699604744,0.8176667417797477,0,32,0,4
S1,7042028,1,validation_all,18,24,18,0.4166666666666667,0.4166666666666667,0.1388888888888889,1.0,0.8421052631578947,0.6720061022120518,0.6678926081273319,0,12,0,4
S1,7042028,1,validation_original,4,7,4,0.375,0.375,0.3333333333333333,1.0,0.8666666666666667,0.6833333333333333,0.7532565571759191,0,1,0,1
S1,7042028,1,validation_derived,14,17,14,0.42857142857142855,0.42857142857142855,0.08333333333333333,1.0,0.8333333333333334,0.6686103012633625,0.6281276605569774,0,11,0,3
C0,7042029,1,train_all,19,92,44,0.6356589147286822,0.5813953488372093,0.2713178294573643,0.6409638554216868,0.25513196480938416,0.7897643359361198,0.8230488557442512,0,37,0,5
C0,7042029,1,train_original,9,27,15,0.5625,0.46875,0.2677083333333333,0.6576576576576577,0.29545454545454547,0.7726248976248976,0.8143305740942433,0,5,0,1
C0,7042029,1,train_derived,10,65,29,0.6597938144329897,0.6185567010309279,0.27250859106529207,0.6348684210526315,0.24110671936758893,0.7957145828999376,0.8263575564193105,0,32,0,4
C0,7042029,1,validation_all,10,24,15,0.4722222222222222,0.3611111111111111,0.1388888888888889,0.5652173913043478,0.38596491228070173,0.5995423340961098,0.6189157700665223,0,12,0,4
C0,7042029,1,validation_original,3,7,4,0.25,0.125,0.23333333333333334,0.65,0.4666666666666667,0.6033333333333334,0.7013740223217856,0,1,0,1
C0,7042029,1,validation_derived,7,17,11,0.5357142857142857,0.42857142857142855,0.11190476190476191,0.5306122448979592,0.35714285714285715,0.598153547133139,0.5983116021771937,0,11,0,3
S0,7042029,1,train_all,19,92,44,0.6356589147286822,0.5813953488372093,0.2713178294573643,0.6409638554216868,0.25513196480938416,0.7910009539624775,0.8236563521515227,0,37,0,5
S0,7042029,1,train_original,9,27,15,0.5625,0.46875,0.2677083333333333,0.6576576576576577,0.29545454545454547,0.7737510237510238,0.814904232097325,0,5,0,1
S0,7042029,1,train_derived,10,65,29,0.6597938144329897,0.6185567010309279,0.27250859106529207,0.6348684210526315,0.24110671936758893,0.7969627626378198,0.826958162364473,0,32,0,4
S0,7042029,1,validation_all,10,24,15,0.4722222222222222,0.3611111111111111,0.1388888888888889,0.5652173913043478,0.38596491228070173,0.5995423340961098,0.6189157700665223,0,12,0,4
S0,7042029,1,validation_original,3,7,4,0.25,0.125,0.23333333333333334,0.65,0.4666666666666667,0.6033333333333334,0.7013740223217856,0,1,0,1
S0,7042029,1,validation_derived,7,17,11,0.5357142857142857,0.42857142857142855,0.11190476190476191,0.5306122448979592,0.35714285714285715,0.598153547133139,0.5983116021771937,0,11,0,3
S1,7042029,1,train_all,19,92,44,0.6356589147286822,0.5813953488372093,0.2713178294573643,0.6409638554216868,0.25513196480938416,0.7907006324417907,0.8227035020065372,0,37,0,5
S1,7042029,1,train_original,9,27,15,0.5625,0.46875,0.2677083333333333,0.6576576576576577,0.29545454545454547,0.7735462735462736,0.8147903048438885,0,5,0,1
S1,7042029,1,train_derived,10,65,29,0.6597938144329897,0.6185567010309279,0.27250859106529207,0.6348684210526315,0.24110671936758893,0.7966247139588101,0.8260128926591812,0,32,0,4
S1,7042029,1,validation_all,10,24,15,0.4722222222222222,0.3611111111111111,0.1388888888888889,0.5652173913043478,0.38596491228070173,0.5992880752606153,0.608593879171052,0,12,0,4
S1,7042029,1,validation_original,3,7,4,0.25,0.125,0.23333333333333334,0.65,0.4666666666666667,0.6033333333333334,0.7013740223217856,0,1,0,1
S1,7042029,1,validation_derived,7,17,11,0.5357142857142857,0.42857142857142855,0.11190476190476191,0.5306122448979592,0.35714285714285715,0.597667638483965,0.5854011733316054,0,11,0,3
